nama pengguna,komentar
FM-he2hk,Kurmer bertujuan memperbaiki sistem pendidikan di Indonesia dengan mengedepankan nilai keindonesiaan dan kearifan lokal. Pembelajaran yang berpusat pada murid akan menghasilkan generasi yang mandiri dan kreatif
kevindagandasaputra5887,Sebagai seorang guru. Menurut saya kurikulum merdeka merupakan konsep pendidikan yang sangat cocok digunakan di Indonesia karena dalam pembelajaranmya yang berdampak positif pada kemajuan peserta didik
anikazuharoh851,"Kurikulum merdeka merupakan kurikulum yang berpusat pada peserta didik guru hanya sebagai fasilitator. Konsep kurikulum merdeka bertujuan mencetak generasi yang mandiri, kreatif dan inovatif. Pembelajaran pada kurikulum merdeka di lakukan dg menyenangkan yg tidak hanya dilakukan di dalam kelas tetapi juga di luar kelas."
user-gy5gu9tp2w,Kurikulum Merdeka merupakan Kurikulum yang relevan di pendidikan abad ke 21 karena Kurikulum ini mengajari peserta didik untuk memahami lingkungan sekitar dan mengasah minat dan bakat siswa
MegaNovita-hz2bk,"Saya sebagai seorang guru SMP, kurikulum merdeka ini sangat membantu dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif. Terimakasih Belajar Era Digital"
sitiaisyahsitiaisyah4069,Kurikulum merdeka Belajar tujuannya salah satu adalah untuk memperbaiki proses pembelajaran adapun prinsip nya 1 pendidikan berpusat pada siswa
gunnturefendi,"Sebagai seorang guru, adanya kurikulum merdeka sangat sesuai untuk di pelajari dan di ajarkan di tingkat SMP karena pembelajaran ini bersifat kreatif, inovatif dan positif yang mendukung pola pikir anak-anak untuk berkembang dan berkreasi."
enipadmavati7319,"Sebagai guru SMK, kurikulum merdeka ini sangat membantu dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif. Lebih fleksibel dan sesuai dengan kebutuhan pendidikan sekarang"
friliawitin5488,Konsep pembelajaran pada kumer sangat baik diterapkan dimana sebelum melakukan pembelajaran harus dispersiapkan dengan baik.
titikretnoningsih6819,Saya sebagai seorang guru SMP dan sudah diterapkan  kurikulum merdeka. Dengan kurikulum ini menekankan pada pembentukan karakter peserta didik  Guru juga menjadi fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik sehingga semakin berpikir kreatif dan inovatif. Terimakasih
simaltea5114,Sebagai seorang guru mampuh menerapkan kurikulum merdeka
ainizega,Pembelajaran yang berpusat pada peserta didik mampu menumbuhkan pengalaman belajar yang lebih menyenangkan sehingga dapat meningkatkan minat serta mengembangkan kreatifitas peserta didik dalam proses pembelajaran
lilikanisah_rizkyamalia6223,"Sebagai seorang pendidik, saya sangat setuju dengan kurikulum merdeka, pembelajaran mengutamakan kebutuhan siswa dan kearifan lokal dimana pembelajaran berpusat pada siswa. Siswa aktif, kreatif dan senang memecahkan masalah. Semoga kedepannya Kumer dapat melahirkan generasi pembelajaran yang berkualitas, menyenangkan, kreatif, inovatif dan kolaboratif."
amimoreno4383,"Konsep pembelajaran kurtikulum merdeka merupakan konsep pembelejaran dengan pendekatan berpusat pada peserta didik, Pengalaman belajar yang menyenangkan, mengggunakan kreativitas dan inovasi dan pemeblajaarn konstekstual."
simaltea5114,Sebagai seorang guru sekarang harus lebih memahami era digital
meryrahmawati2860,Kurikulum merdeka adalah kurikulum baru yang bertujuan untuk memperbaiki sistem pendidikan di Indonesia dengan mengedepankan nilai-nilai keindonesiaan dan kearifan lokal. Salah satu konsep penting dalam kurikulum merdeka adalah konsep pembelajaran.
yessirosa279,"konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
muhammadrismanto382,"Saya sebagai seorang guru SMA, kurikulum merdeka sangat membantu membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif."
kasmawati648,Sebagai seorang guru SD konsep kurmer ini adalah konsep yang relevan untuk diterapkan di Indonesia karena berdampak positif pada kreativitas dan pola berfikir siswa
jumrianisalam1198,"konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
bintangabdillah-vg2hg,"Tambahkan komentar...


Rio andryanto
1 hari yang lalu
Sebagai seorang guru SD konsep kurmer ini adalah konsep yang relevan untuk diterapkan di Indonesia karena berdampak positif pada kreativitas dan pola berfikir siswa
5
19


Tampilkan balasan lainnya


lukman harun
4 jam yang lalu
Sebagai seorang guru di SD menurut saya, konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa."
iiniin5943,konsep kurikulum merdeka sangat tepat untuk digunakan. karena berdampak.positif pada perkembangan pendidikan
anak_mi5323,"Gina, guru MTsN 1 Kota Cirebon.
Sebagai guru dan ibu, kurikulum merdeka dengan keterampilan 4C-nya sangat bermanfaat untuk menumbuhkan karakter positif pada peserta didik dan semua supporting systemnya. 
Untuk Indonesia yang lebih baik. Semangat, aku!"
mariangatmini7148,"Melalui video ini saya merasa semakin diperjelas mengenai; apa itu Kurikulum Merdeka, tujuan Kurikulum merdeka, konsep-konsep penting dalam pembelajaran.
Saya setuju dengan pernyataan bahwa Peserta didik tidak hanya di beri pengetahuan dan ketrampilan tetapi juga diberi ruang untuk pengembangkan diri dan aktifitasnya.
Prinsip.pembelajaran.antar lain
1. Pendidikan berpusat pada perta didik
2. Pengalama belajar yang menyenangkan.
3. Mengembangkan kreatifitas
 Inovasij
4. Pembelajaran yang kontekstual
5 Pembelajaran inklusif.
Semoga  bisa.mengimplementasikan ini semua.di satuan pendidikan kami."
putuagustrisna3202,"Kumer perlu diterapkan serentak di sekolah sesuai dengan kesiapan sekolah masing - masing, demi terwujudnya pola dan arah pendidikan yang lebih baik, dalam kurikulum ini yang menekankan pada subjek yaitu peserta didik yang diberikan suatu kebebasan dalam pembelajaran,disamping itu kurikulum ini berpusat pada peserta didik yang didampingi oleh guru sebagai fasilitator dalam pembelajaran dan pembelajaran bersipat 2 arah  serta  membangun minat & bakat anak  sehingga anak tersebut akan memiliki keteramilan berfikir yang kritis."
sriseptriyana3939,"Sebagai seorang guru, konsep pembelajaran pada kurikulum merdeka lebih menekankan pada peserta didik sehingga peserta didik dapat menjadi generasi yang lebih mandiri, kreatif, dan inovatif."
sitiasngadah3204,Sebagai guru SD konsep kurmer ini adalah konsep yang relevan untuk diterapkan di Indonesia karena berdampak positif pada kreativitas dan pola berfikir siswa
alianahinda,"Kurikulum merdeka bertujuan untuk menghasilkan generasi yang kreatif, mandiri dan inovatif
Konsep pembelajaran kurikulum merdeka:
1. Pendidikan berpusat pada peserta didik
2. Pengalaman pembelajaran yang menyenangkan
3. Mengembangkan kreativitas dan inovatif
4. Pembelajaran kontekstual
5. Pembelajaran inklusif"
nuurililma28,"Saya mengajar di SMA sebagai seorang guru, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita."
DwiAfrianti,"Prinsip dalam konsep pembelajaran kurikulum merdeka:
1. Pendidikan berpusat pada peserta didik
2. Pengalaman belajar yg menyenangkan
3. Mengembangkan kreativitas dan inovasi
4. Pembelajaran contextual
5. Pembelajaran inklusif"
hjmasmulia893,"Sebagai seorang pendidik, saya berterima kasih sekali kepada era digital, kerena memberikan pengetahuan yang banyak terutama tentang pendidikan...dlll"
resviindrayani7637,Vidio ini sangat bermanfaat dan sesuai dg perkembangan zaman
erisaprisa9514,"Sebagai seorang guru SMA, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita."
user-vg7li4wi3d,"Sebagai seorang guru SMA, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita."
mantarimuhammad7410,"MANTARI,S.PD.SMKN 1 SINJAI HADIR HARIKE 4 ."
rennisihombing6461,"Sebagai seorang guru, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
yayukeningsih3885,"konsep pembelajaran pada kurikulum merdeka:
1. berpusat pada siswa
2. pengalaman belajar yang menyenangkan
3. mengembangkan kreativitas dan inovasi
4. pembelajaran kontekstual
5. pembelajran inklusif"
HerawatiFadhil-lk5gs,Dgn kurikulum merdeka membantu siswa dalam kemandirian
dhyaathurfahmaysaroh5025,"Konsep KurMer sangat mendukung proses pembelajaran,karena memberikan kesempatan kepada peserta didik untuk mengembangkan kreatifitasnya dengan guru sebagai fasilitatornya"
sutonolalita,"Saya seorang pendidik di salah satu SMP Negeri  di wilayah jakarta. Sebagai seorang pendidik, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa. Peserta didik dapat mengembangkan potensi diri."
ancinursamsi4812,"kurikulum merdeka ini sangat membantu dalam membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif."
AniPurwaningrum-nr7bd,"Konsep kurikulum merdeka: 1. Berpusat pada siswa, guru sebagai fasilitator membantu mengembangkan potensi diri siswa.2pengalaman belajar yang menyenangkansehingga siswa termotivasi untuk belajar dan tidak hanya belajar di dalam kelas.3mengembangkan kreativitas dan inovasi diharapkan siswa berfikir kritis dan kreatif dalam menyelesaikan suatu masalah.4.pembelajaran kontekstual, pembelajaran disesuaikan dengan konteks materi siswa.5.pembelajaran inklusi, disesuaikan dengan kemampuan siswa..
Pembelajaran kurikulum merdeka diharapkan siswa dapat berfikir kritis dan kreatif dalam mengahadapi tantangan dimasa depan"
nurtangsangkala310,"Sebagai seorang guru konsep kurmer ini sangat membantu dalam membentuk karakter yang baik pada soswa, memberikan pendidikan yang berpusat pada siswa dan melatih siswa untuk menjadi kreatif dan inovatif"
lilikmuthoharoh2326,"kurikulum merdeka sangat membantu membentuk karakter yang baik pada siswa, memberikan pendidikan yang berpusat pada siswa, dan melatih siswa untuk menjadi kreatif dan inovatif."
nantom9967,Sebagai seorang guru pjok menurut saya konsep kurmer sangat relevan d8 gunakan di indonesia
MeliYanti-bl1hk,"Sebagai seorang guru smp, menurut saya, konsep kurikulum merdeka ini adalah konsep yang  paling cocok diterapkan di indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita.  Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan  peserta  didik dapat mengembangkan dan menarik bagi siswa. Peserta didik dapat mengembangkan potensi diri"
dayusulis2814,Sebagai seorang guru SD konsep kurikulum merdeka ini sangat cocok di terapkan di Indonesia karena sangat berdampak positif untuk kreatifitas siswa. Dan pendidikan berpiusat pada peserta didik. Sebenarnya kurikulm merdeka ini sudah terkonsen dari kurikulum CBSA sewaktu saya SD dulu. Hanya saja kini sudah di dukung dengan teknologi dalam pembelajarannya. Karena belajar tidak serta merta tentang nilai kognitif namun juga ada aktifitas dan sosialnya.
Semogabarokah2,"saya sebagai guru SD.menurut saya konsep yang paling cocok diterapkan di Indonesia karena akan berdanpak positip pada kemajuan pengetahuan,keterampilan anak anak kita.konsepnya luar biasa karena pembelajarannya dari pusat pada guru menjadi berpusat pada siswa.peserta gidik dapat mengembangkan potensi diri."
astriaarlita,Kurikulum merdeka sangat tepat diterapkan karena dapat memberi ruang bebas bagi peserta didik untuk dapat mengeksplor kemampuannya. Tidak hanya dibekali dengan ilmu tetapi juga softskill dan lifeskill juga turut dikembangkan
gigiehroessajanto5014,Kurikulum Merdeka Belajar adalah sangat cocok diterapkan di Indonesia
zevialiano7117,"Sebagai seorang guru (guru SMP), menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa. Guru juga menjadi fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik sehingga semakin berpikir kreatif dan inovatif"
idrusmanidrusman5047,"Menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
indahnurqomariyah6292,Saya sangat berterima kasih karena telah dirumuskan dan diterapkannya kurikulum merdeka. Karena berdampak pada pembentukan karakter dimulai dari sekolah dasar. Guru juga menjadi fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik sehingga semakin berpikir kreatif dan inovatif
wefiningrum3267,"Kurikulum merdeka berpusat pada peserta didik, pengalaman belajar yang menyenangkan, mengembangkan kreativitas dan inovasi, pembelajaran kontekstual, pembelajaran inklusif."
BennyRuis,Konsep pembelajaran yang berpusat pada peserta didik di mana guru berperan sebagai fasilitator untuk mengontrol peserta didik merupakan konsep pembelajaran yang sangat memerdekakan para peserta didik. Konsep ini merupakan inovasi baru yang membantu para peserta didik untuk lebih mandiri dan kreatif dalam mengembangkan kemampuan dan pengetahuan mereka. Semoga kurikulum ini dapat memberi kontribusi dan perubahan untuk generasi yang mampu bersaing di masa depan.
ezawantiaresita3050,"Konsep pembelajaran dalam kurikulum merdeka mengacu pada pendekatan yang berpusat pada peserta didik. Peserta didik tidak hanya diberilan pengetahuan dan keterampilan saja tetapi juga diberikan ruang untuk mengembangkan kemampuan diri dan kreativitasnya.. konsep pembelajaran ini bertujuan untuk menghasilkan generasi yang lebih mandiri,kreatif dan inovatif"
indraardyanti5985,"Saya seorang guru SMK,  kurikulum merdeka ini sangat tepat diterapkan di era saat ini yang mana pembelajaran berpusat pada anak didik disesuiakan dengan kemampuan dan kebutuhan anak. Anak didik bebas mengekspresikan kemampuanya."
puspa89channel36,"Sebagai seorang guru, adanya kurikulum merdeka sangat sesuai untuk di pelajari dan di ajarkan di tingkat SD karena pembelajaran ini bersifat kreatif, inovatif dan positif yang mendukung pola pikir anak-anak untuk berkembang, terima kasih pada para mentor yang sudah memberikan ilmu kepada kami sehingga kami bisa menularkan pada anak- anak. maju terus buat semua guru Indonesia."
faatulowaruwu8235,"KOnesp Pembelajaran dalam kurikulum merdeka antara Lain :
1. Pendidikan berpusat pada Peserta Didik.
2. Pengalaman Belajar yang Menyenangkan.
3. Mengembangkan Kreatifitas dan Inovasi.
4. Pembelajaran Kontekstual.
5. Pembelaran Inklusif"
noraidanoraida1520,"Seorang guru SD,  saya sangat berterima kasih karena telah dirumuskan dan diterapkannya kurikulum merdeka. Karena berdampak pada pembentukan karakter dimulai dari sekolah dasar. Guru juga menjadi fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik sehingga semakin berpikir kreatif dan inovatif"
Sufiati-nz7yf,Konsep dalam pembelajaran kurikulum merdeka sangat baik d terapkan d Indonesia karena mendorong siswa untuk berfikir secara efektif dalam menyelesaikan masalah
AnnisaNisa-ud3jm,"Kurikulum merdeka mendidik dan mengajar anak sesuai karakteristik lingkungan sekolah dan kemampuan masing-masing anak. Implementasi kurikulum merdeka yang menerapkan nilai-nilai Pancasila dapat menciptakan anak cerdas, unggul dan berakhlak."
noraidanoraida1520,"Sebagai  guru SD,  saya sangat berterima kasih karena telah dirumuskan dan diterapkannya kurikulum merdeka. Karena berdampak pada pembentukan karakter dimulai dari sekolah dasar. Guru juga menjadi fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik sehingga semakin berpikir kreatif dan inovatif"
AinurHelmi,"Kurikulum merdeka sangat mendukung karena menciptakan siswa yg aktif ,kreatif,dan inovatif"
dndiokhatalago2239,Kurikulum merdeka merupakan kurikulum yang mampu merubah pola atau kebiasaan lama yaitu teacher centered menjadi student oriented. Proses pembelajaran dikembangkan sesuai kebutuhan dan minat peserta didik.
rosyidaaisyah9708,Konsep pembelajaran dalam kurikulum merdeka yaitu pembelajaran yang berpusat pada siswa sehingga siswa juga berperan dalam kegiatan pembelajaran bukan hanya duduk diam mendengarkan guru menjelaskan.
sujining1732,"Sebagai seorang guru SMA, menurut saya konsep kurikulum merdeka ini adalah konsep yang relevan   diterapkan dalam pendidikan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Pada konsep ini terjadi perubahan pembelajaran  yang berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa."
user-dm3yn9td4e,"Saya mengajar di SD sebagai seorang guru, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
nasrulgowa,"Saya sebagai guru SD, kurikulum merdeka sangat membantu membentuk karakter siswa. Mengembangkan potensi siswa supaya aktif, kreatif, dan inovatif."
nurulhidayah-nq3th,"Saya sebagai seorang guru SD,  saya sangat berterima kasih karena telah dirumuskan dan diterapkannya kurikulum merdeka. Karena berdampak pada pembentukan karakter dimulai dari sekolah dasar. Guru juga menjadi fasilitator yang mampu memberikan kontribusi yang baik untuk perkembangan peserta didik sehingga semakin berpikir kreatif dan inovatif"
fitriaelnanda3500,Konsep kurikulum merdeka sangat relevan diterapkan disekolah karena berdampak positif pada pola pikir siswa
NurlyaViyatni,"11 menit yang lalu
Saya mengajar di SMA sebagai seorang guru, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
andisantoso1624,"Esensi dari merdeka belajar sendiri, yaitu kebebasan berpikir yang ditujukan kepada siswa dan guru, sehingga mendorong terbentuk karakter jiwa merdeka.

Sebab, siswa dan guru dapat mengekplorasi pengetahuan dari lingkungannya. Selama ini siswa dan guru hanya belajar berdasarkan materi dari buku atau modul."
AgusSalim-fy6xx,"Sebagai tenaga pendidik ditingkat SlTP menurut saya, konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsep pembelajaran yang  berpusat pada guru menjadi pembelajaran berpusat pada siswa. Pembelajaran diarahkan sesuai dengan kebutuhan peserta didik dan tetap menyenangkan serta menarik bagi siswa."
saripurwaningsih7014,"Konsep pembelajaran dalam KMB mengedepankan prinsip pembelajaran yang lebih fleksibel dan adaptif, serta mengembangkan keterampilan dan karakter siswa.
Konsep pembelajaran dalam KMB dilandasi oleh 4 (empat) prinsip yaitu 1) Pembelajaran yang Berpusat pada Peserta Didik, 2) Pembelajaran yang Berbasis Kompetensi, 3) Pembelajaran yang Kontekstual dan Relevan, dan 4) Pembelajaran yang Holistik dan Integratif."
rubrachannel7673,"Menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa."
dwinawangsih9223,Konsepnya sudah cocok dengan pembelajaran saat ini. Hanya saja kadang murid ada yang tidak aktif dalam pembelajaran
user-ps8xx9ur7r,"Sebagai seorang guru nantinya, konsep kurikulum merdeka ini sebetulnya sudah sangat cocok untuk diterapkan kepada peserta didik. karena kurikulum merdeka ini penyempurnaan dari kurikulum sebelumnya. Hanya saja, pendidik harus banyak belajar dan beradaptasi dengan kurikulum merdeka ini, agar mampu memahami dan mengaplikasikan kepada peserta didik nantinya."
fredjewarut8154,Kurikulum merdeka sangat tepat untuk mempersiapkan siswa dalam menghadapi persaingan masa depan. Sehingga siswa tidak pasif dalam perkembangan ilmu penetahuan dimasa sekarang dan masa depan.
wardatuldjannah3417,"Konsep Pembelajaran dalam Kurikulum Merdeka
Pembelajaran mengacu pada pendekatan yang berpusat pada peserta didik sebagai objek utama dalam proses pembelajaran, sealain diberi pengetahuan dan Ketrampilan peserta didik juga di berkan ruang untuk mengembangkan kemampuan diri dan kreativitas
dengan tujuan menghasilkan generasi yang lebih mandiri, kreatif dan inovatif"
imhanurhalimah435,esensi Kurikulum Merdeka adalah menciptakan ruang bagi setiap individu untuk tumbuh dan berkembang sesuai fitrah keunikannya masing-masing.
nimadesamadi4000,"Sebagai guru SD ,konsep kurikulum merdeka sangat cocok diterapkan di indonesia,sehingga berdampak positif pada kemajuan pengetahuan dan ketrampilan anak didik"
nelafitriani2369,Kurikulum merdeka merupakan konsep yang cocok untuk diterapkan dalam pembelajaran
kadaryasin3234,Subjek pembelajaran adalah siswa guru hanya sebagai fasilitator
hasriantyrizal1487,"Konsep penting dalam kurikulum merdeka yg mengacu dan berpusat pada peserta didik. 
Tujiannya menghasilkan pribadi yg mandiri dan kreatif"
ekawandrie,"Sebagai seorang guru SMA, menurut saya konsep kurikulum merdeka adalah konsep yang paling cocok diterapkan di sekolah karena berdampak positif pada diri siswa"
yenikristania8232,Krikulum merdeka sangat cocok untuk pendidikan di indonesia..karena memiliki berbagai karekter didalamnya
dewifatmala8338,"Saya mengajar di SMA sebagai seorang guru, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa"
arifin_muhammad,"Sebagai guru yang mengabdi di sekolah dasar,saya sangat bersyukur dan berterima kasih dengan penerapan kurikulum merdeka belajar ini karena berdampak positif bagi pembentukan karakter siswa dimulai dari sekolah dasar,guru juga semakin mudah mengajar dengan menjadi fasilitator yang mampu memberikan kontribusi dengan baik untuk perkembangan peserta didik yang akan semakin berpikir kreatif dan inovatif"
abrizamnafiqa-ie7zx,kurikulum merdeka merupakan konsep pembelajaran yg berpusat pada peserta didik yg memiliki tujuan siswa kreatif dan inovatif
iidofficial8714,Sebagai guru SD menurut saya kurikulum merdeka sangat cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan dan keterampilan peserta didik.
rizqisetiawan2708,"sebagai seorang guru MTs, kurikulum merdeka ini sangat tepat di lakukan karena dapat membentuk karakter siswa dimana siswa sebagai pusat pembelajaran sehingga siswa dapat melatih siswa agar lebih kreatif dan inovatif."
sitiaisyah-qr7qf,adanya kurikulum merdeka sangat sesuai di dunia pendidikan karena pembelajaran ini bersifat kreatif dan positif yang mendukung pola pikir anak-anak untuk berkembang. Pendidikan menekankan pada siswa dan melatih kreatif dan inovatif pada siswa.
desiprayanti2841,Sebadai seorang guru kurikulum merdekan sanat penting dapat menumbuhkan minat dan bakat siswa mampu berpikir kriatif dan inovatif untuk mengasilkan generasi yang lebih baik dan berkualitas mampu bersaing secara global didunia pendidikan.
sriharyanti6941,"Kurikulum merdeka yang saat ini kita gunakan sangat sesuai di zaman sekarang ini, di mana kita dapat membentuk karakter baik pada siswa, juga pembelajaran senantiasa inovatif dan kreatif."
niputuekasriwahyuni5573,Materinya sangat bermanfaat. Terima kasih.
agsanchanel7985,"Saya guru BK SMP negeri 8 Pemalang. Kurikulum merdeka memang sangat membantu siswa dalam proses pembelajaran yang lebih efektif, efisien dan tepat sasaran."
niputusekarmawi9277,Kurikulum merdeka belajar  yaitu pembelajaran yg berpusat pada pesertadidik
nurkayanur475,"Ssbagai seorang guru harus memahami apa itu Konsep  kurikulum.merdeka   sehingga   dimana 4 konsep  tersebut antafa lain :1.Berpusat kepada peserta didik.
2.pembelajaran yang menyenanhlan
3.mengembanhlan kreatif,dan inovasi pesdrta didik
4..Pembelajaran yang kontekstual
 Konsep tersebiut harus di aplikasikan  agar  tercapai tiujuan akhir dari kurikulum.merdeka tersebut"
nurinurhalimah9415,Kurikulum merdeka berdampak positif di Indonesia
retnodianl8162,Konsep kurikulum merdeka yang berpusat pada peserta didik dapat membuat mereka secara optimal untuk meningkatkan kemampuan mereka sesuai dengan potensi yang dimiliki
nurulkhairiyah878,Kurikulum merdeka bertujuan untuk memperbaiki sistem pendidikan di indonesia dengan mengedepankan nilai-nilai keindonesiaan dan kearifan lokal.
mustawa939,"Konsep kurikulum merdeka paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita karena pembelajaran lebih berpusat pada peserta didik."
rinikristiyanti6253,"Saya sebagai guru SD, kurikulum merdeka sangat membantu membentuk karakter siswa. Mengembangkan potensi siswa supaya aktif, kreatif, dan inovatif."
munawirhasbi7509,Kurikulum Merdeka yang relevan yang membantu karakter untuk membantu kreatifitas mengembangkan potensi dan minta peserta didi
putuarya6747,"Sebagai seorang guru,  kurikulum merdeka, memberikan peran penting dalam pembelajaran saya.pembelajaran mengutamakan kebutuhan siswa dan kearifan lokal dimana pembelajaran berpusat pada siswa. Siswa aktif, kreatif dan senang memecahkan masalah. Semoga kedepannya Kumer dapat melahirkan generasi pembelajaran yang berkualitas, menyenangkan, kreatif, inovatif dan kolaboratif."
shodiqinwanatirta,"Saya mengajar di SMP ,  sebagai seorang guru Informatika, menurut saya konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan dalam pendidikan di Indonesia terutama pada tahun 2023 untuk SMP kelas 7 sudah menerapkan Kurikulum Merdeka, karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa karena terjadi perubahan pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa. Dan pembelajaran diarahkan untuk sesuai dengan kebutuhan peserta didik dan tetap menyenangkan dan menarik bagi siswa untuk mengembangkan kemampuan  berfikir kritis"
